id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,filght_time
1,CO,269,SFO,IAH,3,15,205,1,0:15
2,US,1558,PHX,CLT,3,15,222,1,0:15
3,AA,2400,LAX,DFW,3,20,165,1,0:20
4,AA,2466,SFO,DFW,3,20,195,1,0:20
5,AS,108,ANC,SEA,3,30,202,0,0:30
6,CO,1094,LAX,IAH,3,30,181,1,0:30
7,DL,1768,LAX,MSP,3,30,220,0,0:30
8,DL,2722,PHX,DTW,3,30,228,0,0:30
9,DL,2606,SFO,MSP,3,35,216,1,0:35
10,AA,2538,LAS,ORD,3,40,200,1,0:40
11,CO,223,ANC,SEA,3,49,201,1,0:49
12,DL,1646,PHX,ATL,3,50,212,1,0:50
13,DL,2055,SLC,ATL,3,50,210,0,0:50
14,AA,2408,LAX,DFW,3,55,170,0,0:55
15,AS,132,ANC,PDX,3,55,215,0,0:55
16,US,498,DEN,CLT,3,55,179,0,0:55
17,B6,98,DEN,JFK,3,59,213,0,0:59
18,CO,1496,LAS,IAH,3,60,162,0,1:00
19,DL,1450,LAS,MSP,3,60,181,0,1:00
20,CO,507,ONT,IAH,3,75,167,0,1:15
21,AS,128,FAI,SEA,3,80,206,0,1:20
22,DL,2223,ANC,SLC,3,85,270,0,1:25
23,AS,112,ANC,SEA,3,90,200,0,1:30
24,HA,17,LAS,HNL,3,100,380,1,1:40
25,US,122,ANC,PHX,3,113,327,1,1:53
26,AS,114,ANC,SEA,3,150,200,0,2:30
27,B6,766,BQN,MCO,3,240,169,0,4:00
28,B6,768,PSE,MCO,3,262,180,0,4:22
29,HA,206,HNL,OGG,3,300,36,1,5:00
30,OO,4746,BIS,MSP,3,300,85,0,5:00
31,OO,6466,IYK,LAX,3,300,53,0,5:00
32,US,1011,EWR,CLT,3,300,111,0,5:00
33,US,1983,BOS,CLT,3,300,135,0,5:00
34,HA,108,HNL,KOA,3,302,41,0,5:02
35,OO,6900,MKE,ORD,3,302,44,0,5:02
36,9E,3975,GFK,MSP,3,305,68,0,5:05
37,HA,102,HNL,ITO,3,305,49,0,5:05
38,OO,4829,OMA,MSP,3,305,75,0,5:05
